Timestamp,Gender / เพศ,Age / อายุ,Status / สถานะ  ,Do you play games? / คุณเล่นเกมหรือไม่  ,Why do you play games? / คุณเล่นเกมเพื่ออะไร  ,How many hours do you play games per day? / คุณเล่นเกมกี่ชั่วโมงต่อวัน,What time do you usually play games? / คุณเล่นเกมช่วงเวลาใดมากที่สุด ,Which platform do you use? / คุณเล่นเกมผ่านแพลตฟอร์มใด,What genres do you play? / คุณเคยเล่นเกมแนวไหนมาบ้าง ,What genre do you play the most? / คุณชอบเล่นแนวไหนมากที่สุด,Have you ever spent money on games? / คุณเคยเติมเงินในเกมหรือไม่,How much do you spend on games per month? / คุณใช้เงินกับเกมต่อเดือนเท่าไหร่,What do you usually spend money on? / คุณใช้เงินไปกับอะไร,Do you think you play games too much? / คุณคิดว่าคุณเล่นเกมมากเกินไปหรือไม่,Does gaming affect your study/work? / การเล่นเกมมีผลต่อการเรียน/การทำงานหรือไม่,How many hours do you sleep per day? / คุณนอนกี่ชั่วโมงต่อวัน,Do you play games before sleeping?  / คุณเล่นเกมก่อนนอนไหม,Does gaming affect your health? / การเล่นเกมส่งผลต่อสุขภาพหรือไม่,Have you ever tried to reduce your gaming time but failed? / คุณเคยพยายามลดเวลาเล่นเกม แต่ไม่สำเร็จหรือไม่ ,Do you feel irritated when you cannot play games? /  คุณรู้สึกหงุดหงิดเมื่อไม่ได้เล่นเกมหรือไม่ ,Do you neglect responsibilities because of gaming? /  คุณเคยละเลยหน้าที่ (เช่น การเรียน งาน หรือกิจกรรมอื่นๆ) เพราะการเล่นเกมหรือไม่ 
3/25/2026 16:47:45,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,1-2 hours / 1-2 ชั่วโมง,์Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","MOBA (Ex. ROV, Dota, MLBB, League Of Legend), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Not at all / ไม่เลย,Not at all / ไม่เลย,,,Sleep issues / นอนดึก,,,
3/25/2026 17:19:04,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,More than 6 hours / มากกว่า 6 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Puzzle (Ex. Candy Crush, Tetris), Sports (Ex. FIFA, eFootball, NBA 2K), Roblox","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,A lot / มาก,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Often / บ่อย
3/25/2026 17:19:19,Male / ชาย,21 - 23,Other / อื่นๆ,Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Afternoon / บ่าย,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Puzzle (Ex. Candy Crush, Tetris)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Moderately / ปานกลาง,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 17:20:34,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,,5-6 hours / 5-6 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Not at all / ไม่เลย,Less than 4 hour / น้อยกว่า 4 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
3/25/2026 17:21:29,Male / ชาย,24 +,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Achievement / ความสำเร็จในเกม,3-4 hours / 3-4 ชั่วโมง,Afternoon / บ่าย,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Never / ไม่เคย,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 17:22:05,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Not at all / ไม่เลย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 17:23:38,Female / หญิง,24 +,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,More than 6 hours / มากกว่า 6 ชั่วโมง,Morning / เช้า,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Slightly / เล็กน้อย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 17:23:45,Male / ชาย,24 +,Working / ทำงาน,Yes / เล่น,Competition / แข่งขัน,More than 6 hours / มากกว่า 6 ชั่วโมง,Afternoon / บ่าย,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Slightly / เล็กน้อย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
3/25/2026 17:24:23,Female / หญิง,24 +,Working / ทำงาน,Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 17:24:53,Other / อื่นๆ,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,"500–1,000 THB",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Not at all / ไม่เลย,Not at all / ไม่เลย,Less than 4 hour / น้อยกว่า 4 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Never / ไม่เคย,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 17:26:00,Female / หญิง,21 - 23,Working / ทำงาน,Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,100–500 THB,In-game items (ไอเทมภายในเกม),Not at all / ไม่เลย,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
